xl,xu,xi,f(xl),f(xu),f(xr)
0,3,1.5,-4,5,-1.75
1.5,3,2.25,-1.75,5,1.0625
1.5,2.25,1.875,-1.75,1.0625,-0.484375
1.875,2.25,2.0625,-0.484375,1.0625,0.25390625
1.875,2.0625,1.96875,-0.484375,0.25390625,-0.1240234375
1.96875,2.0625,2.015625,-0.1240234375,0.25390625,0.06274414063
1.96875,2.015625,1.9921875,-0.1240234375,0.06274414063,-0.03118896484
1.9921875,2.015625,2.00390625,-0.03118896484,0.06274414063,0.01564025879
1.9921875,2.00390625,1.998046875,-0.03118896484,0.01564025879,-0.007808685303
1.998046875,2.00390625,2.000976563,-0.007808685303,0.01564025879,0.003907203674
1.998046875,2.000976563,1.999511719,-0.007808685303,0.003907203674,-0.001952886581
1.999511719,2.000976563,2.000244141,-0.001952886581,0.003907203674,0.0009766221046
1.999511719,2.000244141,1.99987793,-0.001952886581,0.0009766221046,-0.0004882663488
1.99987793,2.000244141,2.000061035,-0.0004882663488,0.0009766221046,0.0002441443503
1.99987793,2.000061035,1.999969482,-0.0004882663488,0.0002441443503,-0.0001220693812
1.999969482,2.000061035,2.000015259,-0.0001220693812,0.0002441443503,0.00006103538908
1.999969482,2.000015259,1.999992371,-0.0001220693812,0.00006103538908,-0.00003051751992
1.999992371,2.000015259,2.000003815,-0.00003051751992,0.00006103538908,0.00001525880361
1.999992371,2.000003815,1.999998093,-0.00003051751992,0.00001525880361,-0.000007629390893
1.999998093,2.000003815,2.000000954,-0.000007629390893,0.00001525880361,0.000003814698175
1.999998093,2.000000954,1.999999523,-0.000007629390893,0.000003814698175,-0.000001907348405
1.999999523,2.000000954,2.000000238,-0.000001907348405,0.000003814698175,0.0000009536743732
1.999999523,2.000000238,1.999999881,-0.000001907348405,0.0000009536743732,-0.000000476837144
1.999999881,2.000000238,2.00000006,-0.000000476837144,0.0000009536743732,0.0000002384185827
1.999999881,2.00000006,1.99999997,-0.000000476837144,0.0000002384185827,-0.0000001192092887
1.99999997,2.00000006,2.000000015,-0.0000001192092887,0.0000002384185827,0.00000005960464478
1.99999997,2.000000015,1.999999993,-0.0000001192092887,0.00000005960464478,-0.00000002980232239
1.999999993,2.000000015,2.000000004,-0.00000002980232239,0.00000005960464478,0.00000001490116119
1.999999993,2.000000004,1.999999998,-0.00000002980232239,0.00000001490116119,-0.000000007450580597
1.999999998,2.000000004,2.000000001,-0.000000007450580597,0.00000001490116119,0.000000003725290298
1.999999998,2.000000001,2,-0.000000007450580597,0.000000003725290298,-0.000000001862645149
2,2.000000001,2,-0.000000001862645149,0.000000003725290298,0.0000000009313225746
2,2,2,-0.000000001862645149,0.0000000009313225746,-0.0000000004656612873
2,2,2,-0.0000000004656612873,0.0000000009313225746,0.0000000002328306437
2,2,2,-0.0000000004656612873,0.0000000002328306437,-0.0000000001164153218
2,2,2,-0.0000000001164153218,0.0000000002328306437,0
2,2,2,-0.0000000001164153218,0,0
2,2,2,0,0,0
2,2,2,0,0,0
2,2,2,0,0,0
2,2,2,0,0,0
2,2,2,0,0,0
2,2,2,0,0,0
2,2,2,0,0,0
2,2,2,0,0,0
2,2,2,0,0,0
2,2,2,0,0,0
2,2,2,0,0,0
2,2,2,0,0,0