xl,xu,xr,f(xl),f(xu),f(xr),Solution,,,
0,3,1.333333333,-4,5,-2.222222222,N/a,,,
1.333333333,3,1.846153846,-2.222222222,5,-0.5917159763,N/a,,,
1.846153846,3,1.968253968,-0.5917159763,5,-0.1259763165,N/a,,,
1.968253968,3,1.993610224,-0.1259763165,5,-0.02551827619,N/a,,,
1.993610224,3,1.998720409,-0.02551827619,5,-0.005116724772,N/a,,,
1.998720409,3,1.999744016,-0.005116724772,5,-0.001023868941,N/a,,,
1.999744016,3,1.999948801,-0.001023868941,5,-0.0002047947572,N/a,,,
1.999948801,3,1.99998976,-0.0002047947572,5,-0.00004095979029,N/a,,,
1.99998976,3,1.999997952,-0.00004095979029,5,-0.000008191991612,N/a,,,
1.999997952,3,1.99999959,-0.000008191991612,5,-0.000001638399665,N/a,,,
1.99999959,3,1.999999918,-0.000001638399665,5,-0.0000003276799867,N/a,,,
1.999999918,3,1.999999984,-0.0000003276799867,5,-0.00000006553599929,N/a,,,
1.999999984,3,1.999999997,-0.00000006553599929,5,-0.00000001310719977,SOLUTION,,,
1.999999997,3,1.999999999,-0.00000001310719977,5,-0.000000002621439954,SOLUTION,,,
,,,,,,,,,
,,,,,,,,,https://www.thepysolver.comhttps://www.thepysolver.comhttps://www.thepysolver.comhttps://www.thepysolver.comhttps://www.thepysolver.comhttps://www.thepysolver.comhttps://www.thepysolver.com
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
https://www.thepysolver.com,,,,,,,,,