x0,x1,xi,f(x0),f(x1),Solution
0,3,1.333333333,-4,5,n/a
3,1.333333333,1.846153846,5,-2.222222222,n/a
1.333333333,1.846153846,2.032258065,-2.222222222,-0.5917159763,n/a
1.846153846,2.032258065,1.998720409,-0.5917159763,0.1300728408,n/a
2.032258065,1.998720409,1.99998976,0.1300728408,-0.005116724772,n/a
1.998720409,1.99998976,2.000000003,-0.005116724772,-0.00004095979029,n/a
1.99998976,2.000000003,2,-0.00004095979029,0.00000001310720066,n/a
2.000000003,2,2,0.00000001310720066,0,solution
2,2,2,0,0,solution
2,2,#DIV/0!,0,0,solution
2,#DIV/0!,#DIV/0!,0,#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,,,,,
review calculus differentiation,,,,,