,,,f(xl),f(xu),f(xr),Solution,Bisection Method,xl,xu,xi,f(xl),f(xu),f(xr),Solution,Bisection Method,,xl,xu,xi,f(xl),f(xu),f(xr),Solution,Bisection Method
0,3,,-1,59048,-1,n/a,X^10-1=0,-3,3,0,-29,31,1,n/a,X^10-1=0,,-3,3,0,-31,29,-1,n/a,X^10-1=0
,,,-1,-1,-1,n/a,,-3,0,-1.5,-29,1,-3.875,n/a,,,0,3,1.5,-1,29,3.875,n/a,
,,0,-1,-1,-1,n/a,,-1.5,0,-0.75,-3.875,1,-0.171875,n/a,,,0,1.5,0.75,-1,3.875,0.171875,n/a,
0,0,0,-1,-1,-1,n/a,,-0.75,0,-0.375,-0.171875,1,0.572265625,n/a,,,0,0.75,0.375,-1,0.171875,-0.572265625,n/a,
0,0,0,-1,-1,-1,n/a,,-0.75,-0.375,-0.5625,-0.171875,0.572265625,0.2595214844,n/a,,,0.375,0.75,0.5625,-0.572265625,0.171875,-0.2595214844,n/a,
0,0,0,-1,-1,-1,n/a,,-0.75,-0.5625,-0.65625,-0.171875,0.2595214844,0.06112670898,n/a,,,0.5625,0.75,0.65625,-0.2595214844,0.171875,-0.06112670898,n/a,
0,0,0,-1,-1,-1,n/a,,-0.75,-0.65625,-0.703125,-0.171875,0.06112670898,-0.05073928833,n/a,,,0.65625,0.75,0.703125,-0.06112670898,0.171875,0.05073928833,n/a,
0,0,0,-1,-1,-1,n/a,,-0.703125,-0.65625,-0.6796875,-0.05073928833,0.06112670898,0.006313800812,n/a,,,0.65625,0.703125,0.6796875,-0.06112670898,0.05073928833,-0.006313800812,n/a,
0,0,0,-1,-1,-1,n/a,,-0.703125,-0.6796875,-0.69140625,-0.05073928833,0.006313800812,-0.02192789316,n/a,,,0.6796875,0.703125,0.69140625,-0.006313800812,0.05073928833,0.02192789316,n/a,
0,0,0,-1,-1,-1,n/a,,-0.69140625,-0.6796875,-0.685546875,-0.02192789316,0.006313800812,-0.007736437023,n/a,,,0.6796875,0.69140625,0.685546875,-0.006313800812,0.02192789316,0.007736437023,n/a,
0,0,0,-1,-1,-1,n/a,,-0.685546875,-0.6796875,-0.6826171875,-0.007736437023,0.006313800812,-0.0006937412545,n/a,,,0.6796875,0.685546875,0.6826171875,-0.006313800812,0.007736437023,0.0006937412545,n/a,
0,0,0,-1,-1,-1,n/a,,-0.6826171875,-0.6796875,-0.6811523438,-0.0006937412545,0.006313800812,0.002814414562,n/a,,,0.6796875,0.6826171875,0.6811523438,-0.006313800812,0.0006937412545,-0.002814414562,n/a,
0,0,0,-1,-1,-1,n/a,,-0.6826171875,-0.6811523438,-0.6818847656,-0.0006937412545,0.002814414562,0.001061434028,n/a,,,0.6811523438,0.6826171875,0.6818847656,-0.002814414562,0.0006937412545,-0.001061434028,n/a,
0,0,0,-1,-1,-1,n/a,,-0.6826171875,-0.6818847656,-0.6822509766,-0.0006937412545,0.001061434028,0.0001841208777,n/a,,,0.6818847656,0.6826171875,0.6822509766,-0.001061434028,0.0006937412545,-0.0001841208777,n/a,
0,0,0,-1,-1,-1,n/a,,-0.6826171875,-0.6822509766,-0.682434082,-0.0006937412545,0.0001841208777,-0.0002547415472,n/a,,,0.6822509766,0.6826171875,0.682434082,-0.0001841208777,0.0006937412545,0.0002547415472,n/a,
0,0,0,-1,-1,-1,n/a,,-0.682434082,-0.6822509766,-0.6823425293,-0.0002547415472,0.0001841208777,-0.00003529317675,Solution,,,0.6822509766,0.682434082,0.6823425293,-0.0001841208777,0.0002547415472,0.00003529317675,Solution,
0,0,0,-1,-1,-1,n/a,,-0.6823425293,-0.6822509766,-0.6822967529,-0.00003529317675,0.0001841208777,0.00007441813971,Solution,,,0.6822509766,0.6823425293,0.6822967529,-0.0001841208777,0.00003529317675,-0.00007441813971,Solution,
0,0,0,-1,-1,-1,n/a,,-0.6823425293,-0.6822967529,-0.6823196411,-0.00003529317675,0.00007441813971,0.00001956355382,Solution,,,0.6822967529,0.6823425293,0.6823196411,-0.00007441813971,0.00003529317675,-0.00001956355382,Solution,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
xl,xu,xr,f(xl),f(xu),f(xr),Solution,False Position,xl,xu,xr,f(xl),f(xu),f(xr),Solution,False Position,,xl,xu,xr,f(xl),f(xu),f(xr),Solution,False Position
0.98,1.05,0.9957730468,-0.1829271931,0.6288946268,-0.0414745076,N/a,X^10-1=0,0.98,1.05,0.266103766,2.921192,3.207625,1.284946897,N/a,X^3+X+1=0,,0.98,1.05,0.7548742638,0.921192,1.207625,0.1850281562,N/a,X^3+X-1=0
0.9957730468,1.05,0.9991279688,-0.0414745076,0.6288946268,-0.008686171809,N/a,,0.266103766,1.05,-0.2577826982,1.284946897,3.207625,0.7250871467,N/a,,,0.7548742638,1.05,0.7014743622,0.1850281562,1.207625,0.04664624268,N/a,
0.9991279688,1.05,0.9998210311,-0.008686171809,0.6288946268,-0.001788248606,N/a,,-0.2577826982,1.05,-0.6397532788,0.7250871467,3.207625,0.09840577538,N/a,,,0.7014743622,1.05,0.6874711676,0.04664624268,1.207625,0.01238145769,N/a,
0.9998210311,1.05,0.9999633093,-0.001788248606,0.6288946268,-0.000366845945,N/a,,-0.6397532788,1.05,-0.6932334195,0.09840577538,3.207625,-0.0263823882,N/a,,,0.6874711676,1.05,0.6837157527,0.01238145769,1.207625,0.003330462017,N/a,
0.9999633093,1.05,0.9999924797,-0.000366845945,0.6288946268,-0.00007520079645,N/a,,-0.6397532788,-0.6932334195,-0.6819267876,0.09840577538,-0.0263823882,0.0009607920325,N/a,,,0.6837157527,1.05,0.682702798,0.003330462017,1.207625,0.0008990416067,N/a,
0.9999924797,1.05,0.9999984587,-0.00007520079645,0.6288946268,-0.00001541331782,N/a,,-0.6819267876,-0.6932334195,-0.6823240831,0.0009607920325,-0.0263823882,0.000008917610204,N/a,,,0.682702798,1.05,0.6824291522,0.0008990416067,1.207625,0.0002429241429,N/a,
0.9999984587,1.05,0.9999996841,-0.00001541331782,0.6288946268,-0.000003159049992,N/a,,-0.6823240831,-0.6932334195,-0.6823277693,0.000008917610204,-0.0263823882,0.00000008272916907,N/a,,,0.6824291522,1.05,0.6823551973,0.0002429241429,1.207625,0.00006565590591,N/a,
0.9999996841,1.05,0.9999999353,-0.000003159049992,0.6288946268,-0.0000006474617732,N/a,,-0.6823277693,-0.6932334195,-0.6823278035,0.00000008272916907,-0.0263823882,0.0000000007674796354,SOLUTION,,,0.6823551973,1.05,0.6823352082,0.00006565590591,1.207625,0.00001774627657,N/a,
0.9999999353,1.05,0.9999999867,-0.0000006474617732,0.6288946268,-0.0000001327000864,N/a,,-0.6823278035,-0.6932334195,-0.6823278038,0.0000000007674796354,-0.0263823882,0,SOLUTION,,,0.6823352082,1.05,0.6823298052,0.00001774627657,1.207625,0.000004796769949,N/a,
0.9999999867,1.05,0.9999999973,-0.0000001327000864,0.6288946268,-0.0000000271974484,N/a,,-0.6823278038,-0.6932334195,-0.6823278038,0,-0.0263823882,0,SOLUTION,,,0.6823298052,1.05,0.6823283448,0.000004796769949,1.207625,0.000001296560393,N/a,
0.9999999973,1.05,0.9999999994,-0.0000000271974484,0.6288946268,-0.000000005574232187,SOLUTION,,-0.6823278038,-0.6932334195,-0.6823278038,0,-0.0263823882,0,SOLUTION,,,0.6823283448,1.05,0.6823279501,0.000001296560393,1.207625,0.0000003504589943,N/a,
0.9999999994,1.05,0.9999999999,-0.000000005574232187,0.6288946268,-0.000000001142462791,SOLUTION,,-0.6823278038,-0.6932334195,-0.6823278038,0,-0.0263823882,0,SOLUTION,,,0.6823279501,1.05,0.6823278434,0.0000003504589943,1.207625,0.00000009472875551,N/a,
0.9999999999,1.05,1,-0.000000001142462791,0.6288946268,-0.0000000002341526972,SOLUTION,,-0.6823278038,-0.6823278038,#DIV/0!,0,0,#DIV/0!,#DIV/0!,,,0.6823278434,1.05,0.6823278145,0.00000009472875551,1.207625,0.00000002560510137,SOLUTION,
,,,,,,,,,,,,,,,,,0.6823278145,0.00000002560510137,0.682327797,0.00000002560510137,-0.9999999744,-0.0000000162680569,SOLUTION,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
x0,x1,xi,f(x0),f(x1),Solution,NewTons?,,x0,x1,xi,f(x0),f(x1),Solution,NewTons?,,,x0,x1,xi,f(x0),f(x1),Solution,NewTons?,
0,3,0.00005080526343,-1,59048,n/a,X^10-1=0,,-3,3,-0.1,-29,31,n/a,X^3+X+1=0,,,-3,3,0.1,-31,29,n/a,X^3+X-1=0,
3,0.00005080526343,0.0001016096665,59048,-1,n/a,,,3,-0.1,-0.192584964,31,0.899,n/a,,,,3,0.1,0.1871968962,29,-0.899,n/a,,
0.00005080526343,0.0001016096665,#DIV/0!,-1,-1,n/a,,,-0.1,-0.192584964,-0.9430647887,0.899,0.8002722584,n/a,,,,0.1,0.1871968962,0.9451135586,-0.899,-0.8062432232,n/a,,
0.0001016096665,#DIV/0!,#DIV/0!,-1,#DIV/0!,#DIV/0!,,,-0.192584964,-0.9430647887,-0.572206306,0.8002722584,-0.7817994473,n/a,,,,0.1871968962,0.9451135586,0.5701730722,-0.8062432232,0.7893264523,n/a,,
#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,-0.9430647887,-0.572206306,-0.6594361082,-0.7817994473,0.2404418728,n/a,,,,0.9451135586,0.5701730722,0.6588368721,0.7893264523,-0.2444651831,n/a,,
#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,-0.572206306,-0.6594361082,-0.6845828255,0.2404418728,0.0538041562,n/a,,,,0.5701730722,0.6588368721,0.6846866258,-0.2444651831,-0.0551844264,n/a,,
#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,-0.6594361082,-0.6845828255,-0.6822833856,0.0538041562,-0.005415061994,n/a,,,,0.6588368721,0.6846866258,0.6822801164,-0.0551844264,0.005664823455,n/a,,
#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,-0.6845828255,-0.6822833856,-0.6823277183,-0.005415061994,0.0001064536998,n/a,,,,0.6846866258,0.6822801164,0.6823277078,0.005664823455,-0.0001142885217,n/a,,
#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,-0.6822833856,-0.6823277183,-0.6823278038,0.0001064536998,0.0000002048682972,n/a,,,,0.6822801164,0.6823277078,0.6823278038,-0.0001142885217,-0.0000002300627251,n/a,,
#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,-0.6823277183,-0.6823278038,-0.6823278038,0.0000002048682972,0,solution,,,,0.6823277078,0.6823278038,0.6823278038,-0.0000002300627251,0,solution,,
#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,-0.6823278038,-0.6823278038,-0.6823278038,0,0,solution,,,,0.6823278038,0.6823278038,0.6823278038,0,0,solution,,
#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,-0.6823278038,-0.6823278038,-0.6823278038,0,0,solution,,,,0.6823278038,0.6823278038,#DIV/0!,0,0,solution,,
#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,-0.6823278038,-0.6823278038,#DIV/0!,0,0,solution,,,,0.6823278038,#DIV/0!,#DIV/0!,0,#DIV/0!,#DIV/0!,,
#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,-0.6823278038,#DIV/0!,#DIV/0!,0,#DIV/0!,#DIV/0!,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,
#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,
#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,
,,,,,,,,,,,,,,,,,,,,,,,,
-10,9999999999,,,,,,,-1009,,,,,,,,,-1011,,,,,,,
-9,3486784400,,,,,,,-737,,,,,,,,,-739,,,,,,,
-8,1073741823,,,,,,,-519,,,,,,,,,-521,,,,,,,
-7,282475248,,,,,,,-349,,,,,,,,,-351,,,,,,,
-6,60466175,,,,,,,-221,,,,,,,,,-223,,,,,,,
-5,9765624,,,,,,,-129,,,,,,,,,-131,,,,,,,
-4,1048575,,,,,,,-67,,,,,,,,,-69,,,,,,,
-3,59048,,,,,,,-29,,,,,,,,,-31,,,,,,,
-2,1023,,,,,,,-9,,,,,,,,,-11,,,,,,,
-1,0,,,,,,,-1,,,,,,,,,-3,,,,,,,
0,-1,,,,,,,1,,,,,,,,,-1,,,,,,,
1,0,,,,,,,3,,,,,,,,,1,,,,,,,
2,1023,,,,,,,11,,,,,,,,,9,,,,,,,
3,59048,,,,,,,31,,,,,,,,,29,,,,,,,
4,1048575,,,,,,,69,,,,,,,,,67,,,,,,,
5,9765624,,,,,,,131,,,,,,,,,129,,,,,,,
6,60466175,,,,,,,223,,,,,,,,,221,,,,,,,
7,282475248,,,,,,,351,,,,,,,,,349,,,,,,,
8,1073741823,,,,,,,521,,,,,,,,,519,,,,,,,
9,3486784400,,,,,,,739,,,,,,,,,737,,,,,,,
10,9999999999,,,,,,,1011,,,,,,,,,1009,,,,,,,
,,,,,,,,,,,,,,,,,-1,,,,,,,